spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5iJKGpnFfvbjZJeAtwXfCj,28,Zach Bryan,37,2,13,IE,31/12/2024,79,FALSE,233333,The Great American Bar Scene,04/07/2024,0.492,0.519,7,-6.886,1,0.0288,0.227,8.47E-05,0.0693,0.435,80.868,3
3nHuKdFJZm78CoeBnDcFKe,Bad Dreams,Teddy Swims,38,8,12,IE,31/12/2024,86,FALSE,184577,Bad Dreams,13/09/2024,0.707,0.68,8,-6.203,1,0.0884,0.274,0,0.0932,0.62,125.058,4
5o0osRx8kYJTOqlOSggr9Z,Carry You Home,Alex Warren,39,3,11,IE,31/12/2024,81,FALSE,166880,"You'll Be Alright, Kid (Chapter 1)",27/09/2024,0.525,0.66,10,-7.094,1,0.111,0.468,3.30E-06,0.128,0.458,123.787,4
0IsIY8pfu1yaGkPUD7pkDx,Guess featuring billie eilish,"Charli xcx, Billie Eilish",40,7,10,IE,31/12/2024,82,FALSE,143330,Brat and it’s completely different but also still brat,11/10/2024,0.78,0.713,0,-4.493,1,0.0888,0.0167,0.206,0.144,0.615,130.034,4
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,41,0,9,IE,31/12/2024,87,FALSE,253920,Synchronicity (Remastered 2003),17/06/1983,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
59NraMJsLaMCVtwXTSia8i,Prada,"cassö, RAYE, D-Block Europe",42,3,8,IE,31/12/2024,82,TRUE,132359,Prada,11/08/2023,0.638,0.717,8,-5.804,1,0.0375,0.001,1.79E-06,0.113,0.422,141.904,4
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,Sabrina Carpenter,43,5,7,IE,31/12/2024,88,FALSE,171869,Short n' Sweet,23/08/2024,0.739,0.727,11,-5.968,0,0.0426,0.0678,0,0.104,0.676,94.99,4
3Fcfwhm8oRrBvBZ8KGhtea,Viva La Vida,Coldplay,44,6,6,IE,31/12/2024,72,FALSE,242373,Viva La Vida or Death and All His Friends,19/06/2008,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23E-06,0.109,0.417,138.015,4
6me7F0aaZjwDo6RJ5MrfBD,Evergreen,Richy Mitch & The Coal Miners,45,4,5,IE,31/12/2024,84,FALSE,87000,RMCM,17/05/2017,0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,3
3dj4wgM3cPeuLwMNHDuBon,The Door,Teddy Swims,46,4,4,IE,31/12/2024,85,FALSE,212648,I've Tried Everything But Therapy (Part 1),15/09/2023,0.731,0.861,8,-5.483,0,0.0532,0.0193,0,0.123,0.759,127.922,4
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,47,3,3,IE,31/12/2024,89,FALSE,266773,Parachutes,10/07/2000,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
4nHJcUtNSUVjXRnjdP29Bk,You’re Gonna Go Far,Noah Kahan,48,-8,2,IE,31/12/2024,80,TRUE,286369,Stick Season (We'll All Be Here Forever),09/06/2023,0.586,0.358,7,-9.761,1,0.0308,0.556,0,0.11,0.365,169.925,4
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,49,1,1,IE,31/12/2024,84,FALSE,257800,Rumours (Super Deluxe),04/02/1977,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,50,0,0,IE,31/12/2024,85,FALSE,222973,Hot Fuss,01/01/2004,0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,4
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,1,0,4,IE,30/12/2024,95,TRUE,166300,The Secret of Us (Deluxe),18/10/2024,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,2,0,13,IE,30/12/2024,94,FALSE,211978,Sailor Song,26/07/2024,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72E-05,0.193,0.273,94.938,4
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,3,0,26,IE,30/12/2024,79,TRUE,284066,This Wasn't Meant For You Anyway,21/06/2024,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,4,1,33,IE,30/12/2024,89,TRUE,157146,The Secret of Us,21/06/2024,0.53,0.406,10,-7.507,1,0.033,0.656,0,0.133,0.338,115.94,3
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,5,-1,37,IE,30/12/2024,97,FALSE,210373,HIT ME HARD AND SOFT,17/05/2024,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",6,0,34,IE,30/12/2024,100,FALSE,251667,Die With A Smile,16/08/2024,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,7,0,36,IE,30/12/2024,93,FALSE,218423,"Good Luck, Babe!",05/04/2024,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
